,text,ratingVal,ratingCount,tags
3,Did you know that your body is made 70% of water? And now I'm thirsty.,63.89,185,"dirty, flirty"
4,"I'm the type of person who tries to fall back asleep in the morning, just to finish a dream.",63.87,52,life
5,"Whats long and hard and has cum in it? A cucumber.
",63.86,548,"life, puns, sex"
6,Why do blondes wear underwear? To keep their ankles warm.,63.85,62,blonde
7,"What did the elephant say to the naked man? How do you breathe through that tiny thing?

",63.85,62,"animal, men"
8,"Life without women would be a pain in the ass, literally.",63.74,361,gay
9,What's the difference between men and government bonds? Bonds mature.,63.73,45,"men, money"
0,"Sorry, my dog ate your text message.",63.73,45,"animal, sarcastic"
1,I don't find it hard to meet expenses. They're everywhere.,63.72,31,money
2,"If by free spirits you mean an open bar, then yes I love free spirits.",63.72,31,"attitude, love"
3,Never give yourself a haircut after three margaritas.,63.72,31,life
4,My wife and I had a two-hour fight about whether or not we were fighting.,63.69,65,"fighting, marriage"
5,I'm not lazy... I'm just on my energy saving mode.,63.65,38,attitude
6,I gave up my seat to a blind person in the bus. That is how I lost my job as a bus driver.,63.65,38,"attitude, car, work"
7,"Men don't realize that if we're sleeping with them on the first date, we're probably not interested in seeing them again either.",63.65,38,"love, men, women"
8,"Oh, what? Sorry. I was trying to imagine you with a personality. ",63.65,55,insults
9,"A little boy asked his father, ""Daddy, how much does it cost to get married?"" Father replied, ""I don't know son, I'm still paying.""",63.65,55,"kids, marriage, money"
0,Life is scary; at least the salary is funny.,63.65,55,"life, sarcastic, work"
1,Nothing says' I love my dog' quite like spending more money on his haircut than you do your own.,63.65,55,"animal, love, money"
2,"If I could rearrange the alphabet, I'd put ""U"" and ""I"" together.",63.62,97,"flirty, love"
3,"I love every bone in your body, especially mine.",63.57,165,"dirty, flirty"
4,Why does a blond wear a tight skirt? To keep here legs closed. ,63.56,125,"blonde, rude"
5,"I'm not a Facebook status, you don't have to like me.",63.56,68,"friendship, life"
6,"Join the Army, meet interesting people, and kill them.",63.56,68,"attitude, life, people, sarcastic, stupid"
7,"When I was born, the doctor came out to the waiting room and said to my father, ""I'm very sorry. We did everything we could. But he pulled through.""",63.54,174,"doctor, insults, kids, stupid"
8,What do electric trains and women's breasts have in common? They were originally intended for children but it's the men who play with them the most.,63.46,48,"kids, men, women"
9,"If Mayans could predict the future, why didn't they predict their extinction?",63.45,71,sarcastic
0,"Scooters are for men who want to ride motorcycles, but prefer to feel the wind on their vaginas.",63.44,87,"men, sarcastic"
1,What did the tree say to autumn? Leaf me alone.,63.43,296,"autumn, life, puns"
2,"A garage sale is actually a Garbage sale but the ""b"" is silent.",63.42,489,"life, puns"
3,Crowded elevators smell different to midgets.,63.40,112,dirty
4,It's hard to explain puns to kleptomaniacs because they always take things literally.,63.38,266,puns
5,We can always tell when you are lying. Your lips move.,63.38,90,insults
6,My friends say that I'm gay because I don't like football. What a bunch of idiots. I'm gay because I like cock.,63.36,494,gay
7,I think I'll tell my kids that the Titanic sunk because Jack and Rose had sex before marriage.,63.35,167,"attitude, kids, sarcastic, sex"
8,I just want to live in a world where people come with on/off switches.,63.32,61,"attitude, IT, people, sarcastic"
9,What's the difference between a woman having her period and a terrorist? You can negotiate with a terrorist,63.32,61,"life, men, women"
0,What do sea monsters eat for lunch? Fish and ships.,63.30,377,"Halloween, puns"
1,"Life didn't work out, but everything else is not that bad.",63.30,27,"life, sarcastic"
2,Why is it called tourist season if we can't shoot them?,63.30,27,rude
3,Start every day off with a smile and get it over with.,63.30,27,motivational
4,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",63.30,27,"retirement, women"
5,"Anyone who says ""good morning"" on a Monday is a sociopath.",63.30,27,"attitude, people, rude"
6,"Wise people think all they say, fools say all they think.",63.30,27,"people, stupid"
7,Ask me about my vow of silence.,63.29,41,"attitude, life"
8,Laugh alone and the world thinks you're an idiot.,63.29,41,"attitude, life"
9,"The older I get, the earlier it gets late.",63.24,51,age
0,"Want to hear a pizza joke... nah, it's too cheesy. What about a construction joke? Oh never mind, I'm still working on that one. Did you hear the one about the rope? Skip it. Have you heard the one about the guy in the wheelchair? Never mind, it's too lame.",63.24,51,"life, sarcastic"
1,You should argue with your wife only when she's not around.,63.20,34,"attitude, marriage, women"
2,"Fuck me if I'm wrong, but isn't your name Cindrella?",63.19,229,"dirty, flirty"
3,Secret to success is to know who to blame for your failures.,63.18,64,"attitude, life, success, work"
4,The difference between true love and dinosaurs: We're sure that dinosaurs once existed on this earth.,63.18,80,"animal, love, sarcastic"
5,Your gene pool could use a little chlorine.,63.16,323,"insults, puns"
6,STRESSED is just DESSERTS spelled backward.,63.15,320,"Christmas, puns"
7,"Whenever you get mad, just think of a t-rex trying to masturbate.",63.12,108,motivational
8,"A woman marries a man expecting he will change, but he doesn't. A man marries a woman expecting that she won't change, and she does.",63.07,67,"marriage, men, women"
9,Took my dog to a bonfire and as he sat there staring at it blankly I realized he loves sticks. I was burning a giant pile of his toys.,63.07,114,"animal, life"
0,"What's the difference between a bitch and a whore? A whore sleeps with everybody at the party, and a bitch sleeps with everybody at the party except you.",63.05,86,"dirty, women"
1,The problem with trouble shooting is that trouble shoots back.,63.05,54,"attitude, fighting, life"
2,"My psychiatrist told me I was crazy and I said I want a second opinion. He said okay, you're ugly too.",63.05,117,"insults, rude, ugly"
3,"99% of women say they don't like men who wear leather pants. Which works out perfectly, since 100% of men who wear leather pants don't like women.",63.02,345,"gay, women"
4,One day you will meet someone so amazing in every way who will want absolutely nothing to do with you.,63.01,123,"love, sarcastic"
5,"Deja Vu – When you think you're doing something you've done before, it's because God thought it was so funny, he had to rewind it for his friends.",63.01,123,"christian, God"
6,"I used to think love() was abstract, until you implemented it in MyHeart.",63.01,44,"flirty, IT"
7,Everything you do you're gonna regret. But if you do nothing – you will not only regret but will also suffer.,63.01,44,"attitude, motivational"
8,Never answer an anonymous letter.,63.01,44,life
9,I recently added squats to my workouts by moving the beer into the bottom shelf of the fridge.,63.01,44,"attitude, sarcastic, sport"
0,Republicans & Democrats are like divorced parents who care more about getting the kids to hate the other one than they are their well-being.,63.00,89,"kids, life, political"
1,"No, those pants don't make you look fatter. I mean, how could they?",62.97,70,"insults, women"
2,Why do men name their penises? Because they don't like the idea of having a stranger make 90% of their decisions.,62.97,135,"insults, men"
3,Save your breath... You'll need it to blow up your date.,62.95,144,"flirty, insults"
4,"Why name hurricanes lame names, like Sandy? Name that shit Hurricane Death Megatron 300 and I guarantee niggas be evacuating like they need to.",62.95,144,"death, life"
5,"On the other hand, you have different fingers.",62.86,427,puns
6,I always knew that I could never be a lawyer because of my inability to pass a bar.,62.86,23,"attitude, work"
7,"Never go to bed angry, stay awake and plot your revenge. ",62.86,23,attitude
8,Don't feed the animals at the zoo! You should better feed the security guard!,62.86,23,animal
9,My wife ran off with my best friend last week. I miss him!,62.86,23,"marriage, women"
0,"If Barbie is so popular, why do you have to buy her friends?",62.86,23,life
1,People who live in stone houses shouldn't throw glasses.,62.86,23,"life, marriage"
2,"Childhood is like being drunk, everyone remembers what you did, except you.",62.86,23,kids
3,Updating your relationship status in public is fine. Updating your relationship problems in public is stupidity.,62.86,23,"attitude, love"
4,I eat the broken cookies first because I feel bad for them.,62.86,23,"attitude, life"
5,Foreign Aid: The transfer of money from poor people in rich countries to rich people in poor countries.,62.86,23,"life, money, people"
6,If God is your co-pilot - swap seats.,62.85,101,"christian, God"
7,Slept like a log last night... Woke up in the fireplace. ,62.80,37,life
8,"don't regret doing things, regret getting caught",62.80,37,"attitude, life"
9,"How are tornadoes and marriage alike? They both begin with a lot of sucking and blowing, and in the end you lose your house.",62.80,37,"life, marriage"
0,I love being married. It's so great to find that one special person you want to annoy for the rest of your life. ,62.80,37,marriage
1,What do you get when you cross a joke with a rhetorical question?,62.79,337,puns
2,"To be happy with a man, you must understand him a lot and love him a little. To be happy with a woman, you must love her a lot and not try to understand her at all.",62.78,47,"happiness, love, men, women"
3,"I've seen people like you, but I had to pay admission!",62.78,47,insults
4,The most dangerous room in the house really depends on where your wife is at the moment.,62.78,47,"marriage, women"
5,"Handsome, Sweet, Intelligent, spontaneous, good-looking, nice friends, charming, funny, well...Enough about ME! How about you?",62.73,122,"flirty, intelligence"
6,You should need a license to be that ugly.,62.72,128,"insults, ugly"
7,No Déjà vu please...I Don't want to go through that again,62.69,30,"attitude, life"
8,"Dream carefully, because dreams come true.",62.69,30,"life, motivational"
9,"Whenever I find the key to success, someone changes the lock.",62.69,30,"attitude, life, success"
0,"What did the duck say when he bought lipstick? ""Put it on my bill.""",62.69,30,animal
1,Did you hear about the gay security guard who got fired from his job at the sperm bank? He got caught drinking on the job.,62.64,586,"dirty, gay, rude"
2," I'm not an alcoholic. Alcoholics need a drink, but I already have one.",62.62,88,"alcohol, attitude"
3,Why do Americans choose from just two people to run for president and 50 for Miss America?,62.59,50,"people, political"
4,I have one of those unlimited cell phone plans. There's no limit to how much they can charge me.,62.59,50,"life, money, sarcastic"
5,"If at first you don't succeed, blame someone else and seek counseling.",62.59,50,"life, motivational, sarcastic"
6,"I'm trying to finish writing a script for a porno movie, but there are just too many holes in the plot.",62.58,489,"puns, sarcastic, sex, work"
7,Scientists proved that cows don't give us meat and milk. We just take it from them!,62.57,66,"animal, life"
8,How long have I been working for this company? Ever since they threatened to fire me.,62.50,40,work
9,"Occasionally, a true friend gives his paw not his hand...",62.50,40,"animal, friendship"
0,White smoke from under my hood means either my starter went out or my car has elected a new Pope.,62.50,40,"attitude, sarcastic"
1, What is it called when a blonde blows in another blond's ear? Data transfer. ,62.49,69,blonde
2,Why is it good to have a blonde passenger? You can park in the handicap zone. ,62.49,69,"blonde, stupid"
3,Did you fall from heaven? Cause your face is pretty messed up!,62.46,142,"flirty, sarcastic"
4,"Blind man walks into a bar... And a table, and a chair.",62.44,130,"dirty, life"
5,When they start getting the 5-day forecast right then maybe I'll listen to their climate change theories.,62.43,19,sarcastic
6,What lies at the bottom of the ocean and twitches? A nervous wreck.,62.43,19,life
7,Only dead fish go with the flow.,62.43,19,life
8,"I know milk does a body good, but damn girl, how much have you been drinking?",62.43,53,"beauty, food"
9,"Baby, if you were a fruit you'd be a fineapple.",62.42,72,"flirty, food"
0,Television is a medium because anything well done is rare.,62.35,241,"puns, sarcastic"
1,"Ever since I took geometry at school, my life has turned around 360 degrees.",62.31,56,"life, school"
2,"If a church wants a better pastor, It only needs to pray for the one it has. ",62.31,56,christian
3,You have the perfect face for radio.,62.28,159,"dirty, insults"
4,Your cock is so small you could use it to floss teeth.,62.28,159,"insults, men"
5,Depression: A period during which we have to get along without the things our grandparents never dreamed of.,62.26,11,life
6,"If you do not say it, they can't repeat it.",62.26,11,
7,"Be careful of your thoughts, they may become words at any moment.",62.26,11,life
8,668 – The neighbour of the beast.,62.26,11,
9,Nostalgia isn't what it used to be.,62.26,11,life
0,I thought reverse psychology was when you made your therapist cry.,62.26,11,"attitude, doctor"
1,The difference between an oral thermometer and a rectal thermometer is in the taste.,62.26,11,
2,Secret: Something which is told to one person at a time.,62.26,11,life
3,The only substitute for good manners is fast reflexes.,62.26,11,
4,26.8 percent of all statistics are made up on the spot.,62.26,11,life
5,Age is important only if you're cheese and wine.,62.26,11,"life, men, women"
6,My mind is like a steel trap. Rusty and illegal in 37 states.,62.26,11,life
7,Somebody stole my mood ring and I'm not quite sure how I feel about that..,62.26,11,life
8,You're not drunk if you can lie on the floor without holding on.,62.26,11,life
9,"In the sentence of life, the devil may be a comma - but never let him be the period.",62.26,43,christian
0,It was an emotional wedding. Even the cake was in tiers.,62.26,43,wedding
1,Sometimes the only way you can feel good about yourself is by making someone else look bad. And I'm tired of making other people feel good about themselves!,62.26,43,"attitude, life, people"
2,Sarcasm is just one more service we offer.,62.25,33,sarcastic
3,"Aww, it's so cute when you try to talk about things you don't understand.",62.16,99,insults
4,Its girls like u that cause global warming!,62.15,111,"flirty, insults"
5,There are two types of guys: those who pee in the shower and those who don't admit it.,62.12,26,men
6,"Girls are like roads, more the curves, more the dangerous they are.",62.12,26,women
7,Just took a power nap on a park bench. Made $7.30 in change.,62.12,26,"attitude, life, money"
8,Smartphones are pacifiers for adults.,62.12,26,IT
9,"If we aren't supposed to eat animals, why are they made with meat?",62.12,26,"animal, attitude"
0,Some people are only alive because it is illegal to shoot them.,62.12,26,"life, people"
1,A woman never wakes up her second baby just to see it smile.,62.12,26,"kids, women"
2,Efficiency is a highly developed form of laziness.,62.12,15,life
3,"The early bird might get the worm, but the second mouse gets the cheese.",62.12,15,
4,What color do Smurfs turn if you choke them?,62.12,15,
5,"Evening news is where they begin with ‘Good evening', and then proceed to tell you why it isn't.",62.12,15,life
6,"Some people are like Slinkies ... not really good for anything, but you can't help smiling when you see one tumble down the stairs.",62.12,15,people
7,Always borrow money from a pessimist. He won't expect it back.,62.12,15,"attitude, money"
8,"Five days of the week, my body is a temple. The other two, it's an amusement park! ",62.12,15,
9,Shin: A device for finding furniture in the dark.,62.12,15,life
0,Life is an internet. 30 days after you met she wants you to register and begins taking taxes every month.,62.12,15,life
1,Why do they lock gas station bathrooms? Are they afraid someone will clean them?,62.12,15,life
2,The difference between in-laws and outlaws? Outlaws are wanted.,62.12,15,
3,I drive way too fast to worry about cholesterol.,62.12,15,life
4,"If a person told you they were a pathological liar, should you believe them?",62.12,15,life
5,I intend to live forever... or die trying.,62.12,15,life
6,"Don't trust atoms, they make up everything.",62.12,15,
7,My love for you is like dividing by zero - it cannot be defined.,62.06,46,"flirty, love"
8,"Everything happens for a reason; unfortunately, sometimes the reason is you.",62.06,46,life
9,"Dear Week, I'm so over you. I'm leaving you for your best friend, Weekend. Don't try to find us for at least 2 days.",62.06,46,"attitude, life"
0,We just got a fax. At work. We didn't know we had a fax machine. The entire department just stared at it. I poked it with a stick.,62.05,65,"intelligence, IT, stupid"
1,"No matter how much you push the envelope, it'll still be stationery.",62.02,293,puns
2,Sex takes up the least amount of time and causes the most amount of trouble.,61.99,68,"life, sex, time"
3," Why doesn't Santa have any kids? He only comes once a year.
",61.97,143,"Christmas, dirty, kids"
4,Sex is like air; its not important unless you arent getting any.,61.95,71,"life, sex"
5,There's a fine line between cuddling and holding someone down so they can't get away.,61.91,36,love
6,Photons have mass? I didn't even know they were Catholic.,61.91,36,christian
7,All I ask is a chance to prove money can't make me happy. ,61.91,36,money
8,Get a new car for your spouse - it'll be a great trade!,61.91,36,"car, life, marriage"
9,The human soul weighs 1.2lbs. I know because I've weighed myself before and after I walk into my job.,61.91,49,work
0,"Sorry I didn't text you back, but my phone recognized your number.",61.91,49,"attitude, communication, rude, sarcastic"
1,Did your parents keep the placenta and throw away the baby?,61.83,86,insults
2,"I saw six men kicking and punching the mother-in-law. My neighbour said ‘Are you going to help?' I said ‘No, six should be enough.'",61.81,98,"dirty, marriage, rude"
3,Dont stop! I dont usually get to see beauty in motion,61.79,52,flirty
4,Marriage is like coffee. First it's really hot. Then it's just right. Then it helps you to get off your ass and do things.,61.79,52,marriage
5,Why are birthday's good for you? Statistics show that the people who have the most live the longest!,61.67,165,"birthday, life"
6,"I love my life, but it just wants to be friends...",61.66,39,"life, sarcastic"
7,Talk is cheap. Until you hire a lawyer.,61.66,39,life
8,Why kill time when you can make it work for you?,61.66,39,"motivational, time, work"
9,"The more people I meet, the more I like my dog.",61.61,29,"animal, love"
0,I'm pretty sure I'm going to die without knowing what 95% of a scientific calculator is used for.,61.61,29,"intelligence, life"
1,Why do blondes have TGIF on their shoes? Toes go in first!,61.56,61,blonde
2,Why does the Law society prohibit sex between lawyers and their clients? To prevent clients from being billed twice for essentially the same service! ,61.56,61,"life, sex"
3,"A blonde said, ""I was worried that my mechanic might try to rip me off, I was relieved when he told me all I needed was turn-signal fluid."" ",61.56,61,blonde
4,What if there were no hypothetical questions?,61.51,342,puns
5,"Kids, just because I don't care doesn't mean I'm not listening.",61.48,22,kids
6,I sleep better naked…why can't the flight attendant understand this?,61.48,22,"attitude, life"
7,Do not take life too seriously. You will never get out of it alive.,61.48,22,life
8,"I never loved you any more than I do, right this second. And I'll never love you any less than I do, right this second.",61.48,22,"love, Valentines"
9,"According to the principle of the sandwich, if you put butter on both sides the sandwich will hang in the air.",61.48,22,life
0,"They call it ""pms"" because ""mad cow disease"" was already taken.",61.48,22,women
1,"Have a girl that everyone else dreams about, but don't dream about a girl that everyone else has.",61.48,67,"love, men, sex, women"
2,Programming is like sex; one mistake and you have to support for a lifetime.,61.48,67,"IT, mistake, sex"
3,Definition of a teenager? God's punishment for enjoying sex. ,61.48,67,"kids, sex"
4,My calling in life went straight to voicemail.,61.47,42,life
5,Men wake up as good-looking as they went to bed. Women somehow deteriorate during the night.,61.47,42,"men, women"
6,Tomorrow: The best labor saving device of today.,61.47,42,"attitude, life, motivational"
7,Be nice to your kids. They'll choose your nursing home.,61.47,42,"kids, retirement"
8,Do you sell hot dogs? Because you know how to make a wiener stand.,61.46,70,"dirty, food"
9,"Take an icecube to the bar, smash it and say: ""Now that I've broken the ice, will you sleep with me?""",61.44,73,"flirty, sarcastic"
0,Are you a keyboard? Because you're my type!,61.44,73,"flirty, IT"
1,Are you always this stupid or is today a special occasion?,61.42,85,"insults, retirement"
2,What tea do hockey players drink? Penaltea!,61.39,274,"puns, sport"
3,THANKS TO YOU I have learned that my prayers only get answered if I forward an e-mail to seven of my friends and make a wish within five minutes.,61.33,45,"attitude, sarcastic"
4,You're IQ's lower than your shoe size.,61.31,149,"insults, rude"
5,I'd like to think inside your box.,61.30,169,"dirty, flirty, sex"
6,My wife has to be the worst cook. Her specialty is indigestion.,61.24,32,"marriage, women"
7,Dating a single mother is like continuing from somebody else's saved game.,61.24,32,"kids, life, women"
8,Is everything expensive or I'm just poor?,61.24,32,"life, money"
9,I wish you were a door so I could slam you all day long. ,61.24,32,
0,Stop with the blind jokes ... I don´t see the point.,61.22,48,"attitude, rude, stupid"
1,I like the sound of you not talking.,61.08,96,"communication, friendship, life, sarcastic"
2,Why is the man who invests all your money called a broker?,61.08,168,"life, puns"
3,Why do they use sterilized needles for death by lethal injection?,61.07,54,"death, life"
4,If your going to be two faced at least make one of them pretty.,61.06,93,insults
5,"According to the second law of thermodynamics, you're supposed to share your hotness with me.",61.04,90,flirty
6,Love is like a machine... sometimes you need a good screw to fix it.,61.02,210,"love, puns, sex"
7,Your momma is so mean... she has no standard deviation.,60.99,60,insults
8,"Don't be nervous if someone is driving ahead of you- the world is round, just think that you're driving first!",60.98,35,motivational
9,"Love is blind, only marriage opens your eyes.",60.97,63,"love, marriage"
0,You're sweeter than 3.14,60.97,63,"flirty, intelligence"
1,What is a blonde's favorite fairy tale? Humpme Dumpme!,60.97,78,blonde
2,"I believe in respect for the dead; in fact, I could only respect you if you WERE dead.",60.97,78,"attitude, insults"
3,"Marriage is full of surprises but it's mostly just asking each other ""do you have to do that right now?""",60.97,6,"marriage, sarcastic"
4,I just want to be rich enough to be referred to as eccentric instead of just nuts.,60.97,6,"attitude, money"
5,"The hotel has a live band and my favourite song is ""We're going for a break now, we'll be back later"".",60.97,6,sarcastic
6,Since my girlfriend discovered out the eyeroll and tongue sticking emojis she doesn't have to type words anymore.,60.97,6,"communication, IT, sarcastic"
7,I have the Emergency Alert Warning sound set as the ringtone for when my wife calls.,60.97,6,"communication, sarcastic, women"
8,"I never ask my kids to call me, I just change the Netflix password and then don't respond to their texts.",60.97,6,"IT, kids"
9,"Hello, you've reached 1-800-NARCISSIST, how can you help me?",60.97,6,"communication, rude"
0,I wonder if my first cat appreciates being at least slightly immortalized in my passwords.,60.97,6,"animal, IT, life"
1,Our WIFI was down yesterday and I spent 45 minutes trying to fix it. Our dishwasher has been broken for 3 weeks and I haven't even touched it.,60.97,6,"IT, time"
2,I always give 110%. Oops. Left out the decimal point. I always give 1.10%.,60.97,6,"attitude, work"
3,"I won $3 million on the lottery this weekend so I decided to donate a quarter of it to charity. Now I have $2,999,999.75.",60.97,6,"attitude, money"
4,Crime doesn't pay... does that mean that my job is a crime?,60.97,6,life
5,If you find yourself in a hole. Stop digging.,60.97,6,"attitude, life, sarcastic"
6,"Virginity is not dignity, but lack of opportunity.",60.97,6,"dirty, life, sex"
7,I would request a last meal of soda and pop rocks so I could die on my own terms.,60.97,6,"death, food"
8,Just tell me when and where and I'll be there 20 minutes late.,60.97,6,"attitude, time"
9,"If Google ever goes down and stays down, I'm fucked. I know four facts and they're all about elephants and I already forgot three of them.",60.97,6,"animal, IT, school"
0,America where we celebrate Memorial Day with mattress sales.,60.97,6,money
1,My wife had me take out more life insurance and now there's no grip left on the bath mat. Weird.,60.97,6,"life, marriage, money"
2,"If I throw a stick, will you leave?
",60.95,69,"animal, sarcastic"
3,"When I look into your eyes, I see straight through to the back of your head.",60.95,69,"insults, stupid"
4,He's as sharp as a bowling ball.,60.95,116,insults
5,"I'm the flower, you're the bee. Why don't you suck the sweet pollen right out of me?",60.91,113,"animal, dirty, flirty"
6,The last thing I want to do is hurt you. But it's still on the list.,60.87,25,love
7,I'm smiling. This should scare you.,60.87,25,"attitude, sarcastic"
8,What did the paper clip say to the magnet? I find you very attractive. ,60.87,25,Valentines
9,"I know Jiu-Jitsu, Sambo, Judo, Aikido and lots of other scary words.",60.87,25,sport
0,Why did the duck go to rehab? Because he was a quack addict!,60.87,25,animal
1,"By the time a man realises that his father was right, he has a son who thinks he's wrong.",60.87,25,"kids, men, time"
2,Behind every successful man is his woman. Behind the fall of a successful man is usually another woman.,60.79,38,"marriage, men, success, women"
3,It's better to be the first lover than a third wife.,60.79,38,"love, marriage, women"
4," Why do Retirees smile all the time? Because they can't hear a word you're saying!
",60.79,38,retirement
5,Everything always ends well. If not – it's probably not the end.,60.79,38,"attitude, life, motivational"
6,I don't have an attitude problem. You have a perception problem.,60.79,38,attitude
7,"Just asked my wife what she's ""burning up for dinner"" and it turned out to be all of my personal belongings.",60.79,38,"food, marriage, rude"
8,Wanna dance? I can really put your inertia in motion.,60.79,38,flirty
9,Those who have some means think that the most important thing in the world is love; the poor know that it is money.,60.79,38,"love, money"
0,"Friendship is unnecessary, like philosophy, like art... It has no survival value; rather it is one of those things that give value to survival.",60.78,18,life
1,Inflation: Being broke with a lot of money in your pocket.,60.78,18,money
2,Strangers have the best candy.,60.78,18,
3,Alcohol won't mend a broken heart.But that doesn't mean I won't try it again tonight.,60.78,18,"alcohol, love"
4,"The sole purpose of a child's middle name, is so he can tell when he's really in trouble.",60.78,18,kids
5,The problem with being in the center of attention is that half of it is always behind your back.,60.78,18,life
6,I wonder how many miles I've scrolled with my thumb.,60.78,18,travel
7,"Concerning the absence of toilet paper, there should be complaint books laid out at publicly used places.",60.78,18,life
8,"Love may be blind, but marriage is a real eye-opener.",60.78,18,"love, marriage"
9,I wish conversations were like user agreements where I could skip to the end and just agree.,60.78,18,"attitude, life"
0,A conclusion is the place where you got tired of thinking. ,60.78,18,"attitude, life"
1,"In accordance to the Heisenberg's Uncertainty Principle of Quantum Mechanics, we may already be in love right now.",60.78,18,love
2,Drink coffee! Do stupid things faster with more energy!,60.78,18,"life, stupid"
3,You're just jealous because the voices are talking to me.,60.78,18,life
4,"I sometimes go to my own little world, but that's okay, they know me there.",60.78,18,
5,"Too many freaks, not enough circuses.",60.66,41,"life, rude"
6,Never hit a man with glasses. Hit him with a baseball bat.,60.60,86,dirty
7,No! for the last time stop asking if i am drunk. I am not drunk! Who would name their kid drunk?,60.57,83,"alcohol, kids, life"
8,"I've only been wrong once, and that's when I thought I was wrong.",60.56,44,"attitude, life, motivational"
9,"I never forget a face, but in your case I'll be glad to make an exception",60.56,44,"life, men, rude, women"
0,The person who invented the door knock won the No-bell prize.,60.51,157,"life, puns"
1,I love the F5 key. It´s just so refreshing.,60.49,47,"attitude, IT, love"
2,What's a man's idea of a perfect date? A woman who answers the door stark naked holding a six pack.,60.49,47,"love, men, women"
3,"I tried phone sex once, but the holes were too small.",60.48,74,"sex, stupid"
4,Donated his brain to science before he was done using it.,60.46,28,rude
5,A successful man is one who makes more money that his wife can spend. A successful woman is one who can find such a man.,60.46,28,"men, success, women"
6,Somedays I feel like running away. Then I remember how much I hate running.,60.46,28,"life, sport"
7,"A friend is like a book: you don't need to read all of them, just pick the best ones.",60.46,28,friendship
8,"Introducing myself to new boyfriends parents: ""Hi, I usually don't make it this far.""",60.46,28,"communication, family, love"
9,"When men say ""I'm fine"" they actually mean it. 

Weirdos.",60.46,28,"men, rude"
0,"Nobody is interested in your sorrow, unless you can make a joke or a poem out of it.",60.46,28,sarcastic
1,Credit cards are VERY dangerous. Every time I try to use one somebody starts chasing me with scissors.,60.46,28,"life, money"
2,"It's not how good your work is, it's how well you explain it.",60.46,28,motivational
3,"We must be subatomic particles, because I feel strong force between us.",60.46,71,"flirty, love"
4,"My love is like communism; everyone gets a share, and it's only good in theory.",60.46,71,"love, political"
5,"I love when I leave work early to surprise my wife at home and she greets me with those three very special words… ""Were you fired?""",60.45,50,"marriage, work"
6,"How Do they say ""F**k You"" in Hollywood? ""Trust Me...""",60.45,50,life
7,"Your smile must be a black hole, nothing can escape its pull.",60.45,50,flirty
8,What does a skeleton orders at a restaurant? Spare ribs.,60.44,68,Halloween
9,"Here's $10. Drink until I am really good looking, then come and talk to me.",60.42,53,"alcohol, attitude, beauty"
0,I found out about you from my last nightmare.,60.41,62,"friendship, life, sarcastic"
1,What is it when a woman talks dirty to a man? $3.99 a minute.,60.41,62,"dirty, men, women"
2,"Lawyers really aren't so bad, it's just ninety-nine percent of lawyers that make the rest look bad.",60.41,56,"sarcastic, work"
3,Who doesn't eat on Thanksgiving? A turkey because it is always stuffed.,60.41,56,"animal, Thanksgiving"
4,"You still use Internet Explorer? You must like it nice and slow.
",60.27,128,"dirty, flirty, sex"
5,I'm blonde. What's your excuse?,60.22,153,"blonde, insults, rude"
6, Why did the snowman smile? Because the snowblower is coming.,60.19,349,"dirty, puns, stupid"
7,Love helps to kill time. And time helps to kill love.,60.19,31,"life, love"
8,All the problems fade before a hangover,60.19,31,"alcohol, life"
9,"When you go into court, you are putting your fate into the hands of people who weren't smart enough to get out of jury duty.",60.19,31,"life, people"
0,"If Bill Gates had a penny for every time I had to reboot my computer ...oh wait, he does.",60.19,31,"IT, life, time"
1,"Love is not the number of times you kissed her, but the number of moments you were dying to kiss her.",60.19,31,love
2,"As best man it is my job to tell you about the groom, and all the embarrassing things that have happened to him in the 28 years leading up to what was the happiest day of his life until i started this speech.",60.19,31,"best man speech, happiness"
3,"You take away the looks, money, intelligence, charm and success and, really, there's no real difference between me and George Clooney.",60.09,79,"beauty, intelligence, life, money, sarcastic"
4,The shinbone is a device for finding furniture in a dark room.,60.06,14,life
5,"The voices in my head may not be real, but they have some good ideas!",60.06,14,life
6,Some people hear voices.. Some see invisible people.. Others have no imagination whatsoever.,60.06,14,"life, people"
7,An escalator can never break — it can only become stairs.,60.06,14,life
8,My brain is not equipped with facial or name recognition technology.,60.06,14,"intelligence, people"
9,"If you're looking for the best time to spill things on yourself, might I suggest wearing a white shirt and right before an interview.",60.06,14,"attitude, life"
0,"If you can stay calm while all around you is chaos, then you probably haven't completely understood the situation.",60.06,14,life
1,Well aren't you a waste of two billion years of evolution.,60.06,14,
2,Oops. My brain just hit a bad sector.,60.06,14,life
3,"One tequila, two tequila, three tequila, floor.",60.06,14,
4,I wish there was a way to keep in touch with dogs I meet outside of grocery stores.,60.06,14,"animal, communication"
5,"We need to look at how the world really works, not just accept the way we are told it works.",60.00,34,"attitude, motivational"
6,Football gave me a traumatic brain injury and I was only watching.,60.00,34,"sarcastic, sport"
7,If you were a triangle youd be acute one.,60.00,34,"attitude, intelligence, life"
8,A woman worries about the future until she gets a husband. A man never worries about the future until he gets a wife.,60.00,21,"marriage, men"
9,"At every party there are two kinds of people: those who want to go home and those who don't. The trouble is, they are usually married to each other.",60.00,21,"marriage, people"
